what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434639916200
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434639932660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1434639951186
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1434639953806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639954087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639956474
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434639959360
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434639965787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639970211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639971428
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1434639971740
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434639973721
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1434639975361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639980532
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434639980858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434639985003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434640031976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434640038122
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434640038142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434640042096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434640089243
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434640089263
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434640089543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1434640098893
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434640100073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434640102011
