what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434732128620
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1434732130260
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434732135910
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434732142212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732145787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732147066
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1434732147362
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434732149127
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1434732150860
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --sidp=0x10002020, --id=0x0, --timestamp=1434116220, /cygdrive/d/SID/Trabajo/software/Ascensor/Ascensor.elf] return code: 134",1434732156278
error,log,,,"Downloading ELF Process failed",1434732156278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732156293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732157526
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434732158337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732161083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732162409
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1434732162705
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434732165419
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1434732167028
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434732172600
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434732253879
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1434732277534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732277886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732299184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1434732309806
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1434732311818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434732312504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1434732323301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732335264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732340108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732341009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732379081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732388001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732401725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732405865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732409826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732416693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732419164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732424631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732430190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1434732436474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434732439720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732440875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732444086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732445658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732475844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732477305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434732481190
