what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635430266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635431404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635454429
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434635454439
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434635455981
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434635465290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635476492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635485871
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434635485941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434635486331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635493428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635503174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434635508665
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1434635509291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635518065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635521175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635527192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635575560
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434635584038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1434635588125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1434635593691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1434635600150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434635602477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635604277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635608210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1434635629761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434635631590
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434635632770
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1434635647113
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1434635648493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635662868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635736362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635737682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635773735
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434635773755
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434635775628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635777310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635779171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635807947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635809702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434635841855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434635851695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635854085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635856421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635860150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635870580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434635873201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434635877700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635887291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635995875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636044214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636051785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636058812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636067936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636072267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434636085742
