what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434650456289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434650457658
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1434650457952
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434650459830
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1434650461569
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434650467263
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434650490482
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1434650501926
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434650507159
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434650508506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434650509976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434650512274
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434650523578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1434650527680
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434650530207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434650533543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434650535853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434650560318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434650561705
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1434650562003
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434650563896
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1434650565584
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434650571057
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434650611570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1434650664996
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434650667042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434650668736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434650671160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434650684418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434650690466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434650696902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434650698399
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1434650698696
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434650700661
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1434650702255
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434650707920
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434650719964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434650726812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434650729996
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434650731097
