what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434723238936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723240387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723241604
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434723258017
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1434723263728
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434723264976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723266708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723269050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723269612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723283995
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434723290314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.previous",1434723315885
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434723318490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723320222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723321314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1434723326982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723329634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723332021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723346484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723347888
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1434723348200
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434723350431
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1434723352073
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434723357663
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434723488851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1434723515778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434723517276
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434723533085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723662114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723687263
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434723687283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723690014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723691119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723696802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723698223
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1434723698531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723698553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434723700680
